,connect_duration,connect_duration,connect_duration,connect_duration,connect_duration,connect_duration,connect_duration,connect_duration
,count,mean,std,min,25%,50%,75%,max
name,,,,,,,,
https://site.totto.page/css/12k.css,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/css/16k.css,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/css/20k.css,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/css/24k.css,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/css/28k.css,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/css/32k.css,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/css/36k.css,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/css/40k.css,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/css/4k.css,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/css/8k.css,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/100k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/10k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/15k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/20k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/25k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/30k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/35k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/40k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/45k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/50k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/55k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/5k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/60k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/65k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/70k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/75k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/80k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/85k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/90k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/images/95k.jpeg,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/10k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/12k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/14k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/16k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/18k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/20k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/22k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/24k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/26k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/28k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/2k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/30k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/32k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/34k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/36k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/38k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/40k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/4k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/6k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/js/8k.js,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
https://site.totto.page/single.html,1000.0,37.48930000019074,3.5503775418167947,26.69999998807907,35.80000001192093,37.650000005960464,39.39999998360872,63.099999994039536
